table,name_raw,type_raw,name_clean,type_clean
study,id,,study_id,
study,name,,study_name,
study,principal_investigator_name,,principal_investigator_name,
study,principal_investigator_email,,principal_investigator_email,
study,principal_investigator_address,,principal_investigator_address,
study,main_location_long,,main_location_long,
study,main_location_lat,,main_location_lat,
study,acknowledgements,,acknowledgements,
study,citation,,citation,
study,grants_used,,grants_used,
study,has_quota,,has_quota,
study,i_am_owner,,i_am_owner,
study,license_terms,,license_terms,
study,number_of_deployments,,number_of_deployments,
study,number_of_individuals,,number_of_individuals,
study,number_of_tags,,number_of_tags,
study,study_objective,,study_objective,
study,study_type,,study_type,
study,suspend_license_terms,,suspend_license_terms,
study,i_can_see_data,,i_can_see_data,
study,there_are_data_which_i_cannot_see,,there_are_data_which_i_cannot_see,
study,timestamp_first_deployed_location,,timestamp_first_deployed_location,
study,timestamp_last_deployed_location,,timestamp_last_deployed_location,
study,number_of_deployed_locations,,number_of_deployed_locations,
study,taxon_ids,,taxon_ids,
study,sensor_type_ids,,sensor_type_ids,
individual,id,d,individual_id,d
individual,local_identifier,c,local_identifier,c
individual,nick_name,c,nick_name,c
individual,study_id,d,study_id,d
individual,ring_id,c,ring_id,c
individual,sex,c,sex,c
individual,taxon_id,d,taxon_id,d
individual,taxon_canonical_name,c,taxon_canonical_name,c
individual,access_profile_id,d,access_profile_id,d
individual,default_profile_eventdata_id,d,default_profile_eventdata_id,d
individual,earliest_date_born,T,earliest_date_born,T
individual,latest_date_born,T,latest_date_born,T
individual,exact_date_of_birth,T,exact_date_of_birth,T
individual,external_id,d,external_id,d
individual,external_id_namespace_id,d,external_id_namespace_id,d
individual,i_am_owner,l,i_am_owner,l
individual,death_comments,c,death_comments,c
individual,comments,c,comments,c
tag,id,d,tag_id,d
tag,local_identifier,c,local_identifier,c
tag,manufacturer_name,c,manufacturer_name,c
tag,beacon_frequency,d,beacon_frequency,d
tag,model,c,model,c
tag,processing_type,c,processing_type,c
tag,serial_no,c,serial_no,c
tag,tag_failure_comments,c,tag_failure_comments,c
tag,tag_production_date,c,tag_production_date,c
tag,weight,d,weight,d
tag,comments,c,comments,c
deployment,id,d,deployment_id,d
deployment,local_identifier,c,local_identifier,c
deployment,individual_id,d,individual_id,d
deployment,tag_id,d,tag_id,d
deployment,deploy_on_timestamp,T,deploy_on_timestamp,T
deployment,deploy_off_timestamp,T,deploy_off_timestamp,T
event,event_id,d,event_id,d
event,individual_id,d,individual_id,d
event,location_long,d,lon,d
event,location_lat,d,lat,d
event,timestamp,T,timestamp,T
event,sensor_type_id,d,sensor_type_id,d
event,tag_id,d,tag_id,d
event,ground_speed,d,ground_speed,d
event,gps_speed_accuracy_estimate,d,gps_speed_accuracy_estimate,d
event,visible,l,,
event,gps_dop,d,gps_dop,d
event,gps_hdop,d,gps_hdop,d
event,gps_vdop,d,gps_vdop,d
event,eobs_horizontal_accuracy_estimate,d,,
event,gps_horizontal_accuracy_estimate,d,,
event,location_error_numerical,d,,
event,location_error_percentile,d,,
event,location_error_text,c,,
event,gps_fix_type,d,,
event,gps_satellite_count,d,gps_satellite_count,d
event,gps_time_to_fix,d,,
event,eobs_type_of_fix,d,,
event,eobs_used_time_to_get_fix,d,,
event,eobs_status,c,,
event,,,horizontal_accuracy,d
event,,,time_to_fix,d
event,,,fix_type,d
sensor,id,d,sensor_id,d
sensor,sensor_type_id,d,sensor_type_id,d
sensor,tag_id,d,tag_id,d